,Dataset,Method,Level,Avg. xcorrD,Std. xcorrD
65,MetroTraffic,wavestitch-32,F,0.06911817669025373,0.003376928785001339
66,MetroTraffic,sssd,C,0.20404965753807644,0.0038235279548477796
67,MetroTraffic,sssd,M,0.1791613691089731,0.026284342292319
68,MetroTraffic,sssd,F,0.09078352494545103,0.0050571109211895605
69,MetroTraffic,timeautodiff,C,0.14993875933631085,0.0053110202883516165
70,MetroTraffic,timeautodiff,M,0.20503082610760864,0.020107157142514005
71,MetroTraffic,timeautodiff,F,0.08852679273293211,0.010506969186491586
72,RossmanSales,timegan,C,0.702877727587798,0.004787419080493295
73,RossmanSales,timegan,M,0.7414177630646136,0.015093984804964076
74,RossmanSales,timegan,F,0.8289712918047168,0.017526222274609895
75,RossmanSales,timeweaver,C,0.03028335853806021,0.0009649550829676816
76,RossmanSales,timeweaver,M,0.006032796556006648,0.001432081539912794
77,RossmanSales,timeweaver,F,0.1267321785116379,0.008497214472418626
78,RossmanSales,tsdiff-0.0,C,0.03587336740897499,0.0005956214451141021
79,RossmanSales,tsdiff-0.0,M,0.019463097708912802,0.0022440685551411827
80,RossmanSales,tsdiff-0.0,F,0.05914908127289399,0.0012515849085866285
81,RossmanSales,tsdiff-0.5,C,0.04585319171909673,0.0006987055554334503
82,RossmanSales,tsdiff-0.5,M,0.0035230042865004307,0.002485073056042832
83,RossmanSales,tsdiff-0.5,F,0.07525537501351799,0.0027345029757729973
84,RossmanSales,tsdiff-1.0,C,0.10182204586585511,0.0008677670883935426
85,RossmanSales,tsdiff-1.0,M,0.05659669399140671,0.004358452136005237
86,RossmanSales,tsdiff-1.0,F,0.0522129998614,0.0021099326265411073
87,RossmanSales,tsdiff-2.0,C,0.044200503500341805,0.0010015327181610663
88,RossmanSales,tsdiff-2.0,M,0.005503422418330251,0.0015220200895469606
89,RossmanSales,tsdiff-2.0,F,0.0386071280353422,0.0014730587133718628
90,RossmanSales,wavestitch-1,C,0.019194527638591318,0.0005013592458811125
91,RossmanSales,wavestitch-1,M,0.003581781850277699,0.0015327334256156823
92,RossmanSales,wavestitch-1,F,0.006793137609904387,0.00042532364192126454
93,RossmanSales,wavestitch-8,C,0.031421839843143465,0.0008641497454354261
94,RossmanSales,wavestitch-8,M,0.008937258683183524,0.0010354833368827105
95,RossmanSales,wavestitch-8,F,0.011000733684147158,0.0008534087360780415
96,RossmanSales,wavestitch-16,C,0.03085131059577645,0.001104666477302002
97,RossmanSales,wavestitch-16,M,0.008458302477965496,0.0017378699673284285
98,RossmanSales,wavestitch-16,F,0.01200456138959034,0.000383182517819611
99,RossmanSales,wavestitch-32,C,0.031058046062873344,0.0014337347881307597
100,RossmanSales,wavestitch-32,M,0.009554060130186915,0.0008478030417062171
101,RossmanSales,wavestitch-32,F,0.01774959395567377,0.000599254641546591
102,RossmanSales,sssd,C,0.025602332515470717,0.0004333991513970699
103,RossmanSales,sssd,M,0.008875670914134392,0.001415088993648422
104,RossmanSales,sssd,F,0.07341465188154618,0.001611345260432271
105,RossmanSales,timeautodiff,C,0.003500825919171524,0.0003323630388091113
106,RossmanSales,timeautodiff,M,0.003797461533118285,0.002083581103841259
107,RossmanSales,timeautodiff,F,0.04714251816134304,0.0006014196973401854
108,BeijingAirQuality,timegan,C,0.1906057913345367,0.003989535603828047
109,BeijingAirQuality,timegan,M,0.23164084570534,0.006479737118359284
110,BeijingAirQuality,timegan,F,0.18147316341632336,0.006472311352584844
111,BeijingAirQuality,timeweaver,C,0.15584499931076248,0.0019147046185929715
112,BeijingAirQuality,timeweaver,M,0.19069118166422513,0.014823795391302514
113,BeijingAirQuality,timeweaver,F,0.2853876388915705,0.032462840764348216
114,BeijingAirQuality,tsdiff-0.0,C,0.2821742961927954,0.004788253421096975
115,BeijingAirQuality,tsdiff-0.0,M,0.19959170393754452,0.00435996361122876
116,BeijingAirQuality,tsdiff-0.0,F,0.04476968579892911,0.0037148787245800483
117,BeijingAirQuality,tsdiff-0.5,C,0.17809038738382932,0.00330127876503676
118,BeijingAirQuality,tsdiff-0.5,M,0.18730156299024858,0.003273072501916174
119,BeijingAirQuality,tsdiff-0.5,F,0.04695709093430719,0.002122981273349428
120,BeijingAirQuality,tsdiff-1.0,C,0.3100848505885575,0.002286666195886509
121,BeijingAirQuality,tsdiff-1.0,M,0.2279251444689061,0.003991170961807587
122,BeijingAirQuality,tsdiff-1.0,F,0.046243804485563325,0.0011144509194050255
123,BeijingAirQuality,tsdiff-2.0,C,0.28884490775176613,0.005137796386888885
124,BeijingAirQuality,tsdiff-2.0,M,0.3239704486032605,0.007890172341121784
125,BeijingAirQuality,tsdiff-2.0,F,0.043251976965682594,0.0023617307085435023
126,BeijingAirQuality,wavestitch-1,C,0.17239951503671946,0.008024868685408842
127,BeijingAirQuality,wavestitch-1,M,0.19949515189180003,0.013748385497589591
128,BeijingAirQuality,wavestitch-1,F,0.044259858173067226,0.0015866656938151437
129,BeijingAirQuality,wavestitch-8,C,0.15560419429472194,0.007665509863981042
130,BeijingAirQuality,wavestitch-8,M,0.18749726036271014,0.014546512067682996
131,BeijingAirQuality,wavestitch-8,F,0.03791785356107698,0.003287069409018027
132,BeijingAirQuality,wavestitch-16,C,0.15993396680262026,0.005448999426979695
133,BeijingAirQuality,wavestitch-16,M,0.20120061700654052,0.010061173218439249
134,BeijingAirQuality,wavestitch-16,F,0.039447898976961375,0.0024165116978132903
135,BeijingAirQuality,wavestitch-32,C,0.16070341234204497,0.001021117131917774
136,BeijingAirQuality,wavestitch-32,M,0.1957712281223702,0.009183478822391553
137,BeijingAirQuality,wavestitch-32,F,0.03924105490781198,0.003372622147155412
138,BeijingAirQuality,sssd,C,0.2839463337077418,0.0029624108479993578
139,BeijingAirQuality,sssd,M,0.19996503110120006,0.004243517109491132
140,BeijingAirQuality,sssd,F,0.01896999538768917,0.0003578038213011221
141,BeijingAirQuality,timeautodiff,C,0.3414550314396726,0.0017936980747217592
142,BeijingAirQuality,timeautodiff,M,0.3705503449415526,0.0018883108721902857
143,BeijingAirQuality,timeautodiff,F,0.22959567366689226,0.0018762565202540289
144,PanamaEnergy,timegan,C,0.4116430270265452,0.0011472843180219284
145,PanamaEnergy,timegan,M,0.5348924833852136,0.00698443529603879
146,PanamaEnergy,timegan,F,0.36643611196777875,0.001208159895944889
147,PanamaEnergy,timeweaver,C,0.1449594734134276,0.004855312351363355
148,PanamaEnergy,timeweaver,M,0.17477487970815808,0.04329005929963188
149,PanamaEnergy,timeweaver,F,0.2489947713166914,0.025042282458716543
150,PanamaEnergy,tsdiff-0.0,C,0.3601706788395043,0.003718632539953194
151,PanamaEnergy,tsdiff-0.0,M,0.3063919232691174,0.011269619544891422
152,PanamaEnergy,tsdiff-0.0,F,0.06743669639232956,0.0004774007537338106
153,PanamaEnergy,tsdiff-0.5,C,0.297670204161121,0.0031991268444651905
154,PanamaEnergy,tsdiff-0.5,M,0.321122154901195,0.020687263786410788
155,PanamaEnergy,tsdiff-0.5,F,0.09868703772568943,0.0005923331573912058
156,PanamaEnergy,tsdiff-1.0,C,0.361713578938318,0.0016787591042925166
157,PanamaEnergy,tsdiff-1.0,M,0.298101778265802,0.003884220918419252
158,PanamaEnergy,tsdiff-1.0,F,0.10427817902260601,0.0005547967866643155
159,PanamaEnergy,tsdiff-2.0,C,0.36194170455726205,0.0024128409058743585
160,PanamaEnergy,tsdiff-2.0,M,0.355777049693969,0.005072244005003953
161,PanamaEnergy,tsdiff-2.0,F,0.07798988820907411,0.0007370604372477614
162,PanamaEnergy,wavestitch-1,C,0.19887710901929215,0.003192756325672551
163,PanamaEnergy,wavestitch-1,M,0.19178596938976405,0.030294395116425725
164,PanamaEnergy,wavestitch-1,F,0.05569760425327167,0.0033783781306863116
165,PanamaEnergy,wavestitch-8,C,0.22783913650105658,0.005539828832148622
166,PanamaEnergy,wavestitch-8,M,0.2318994661488313,0.017004518368995202
167,PanamaEnergy,wavestitch-8,F,0.055536281793498385,0.003385000972132718
168,PanamaEnergy,wavestitch-16,C,0.23507101910543532,0.004774925768909975
169,PanamaEnergy,wavestitch-16,M,0.25293895770392416,0.01930619159880423
170,PanamaEnergy,wavestitch-16,F,0.05735836317385421,0.0037173186969991622
171,PanamaEnergy,wavestitch-32,C,0.15308589148823507,0.010582046005160288
172,PanamaEnergy,wavestitch-32,M,0.18427811434338792,0.012227509778389265
173,PanamaEnergy,wavestitch-32,F,0.05316141383413685,0.0028738675622682155
174,PanamaEnergy,sssd,C,0.19507241854654625,0.0008853478860600483
175,PanamaEnergy,sssd,M,0.3443426195658791,0.009095387609351899
176,PanamaEnergy,sssd,F,0.03125169718233164,0.00036177877981406986
177,PanamaEnergy,timeautodiff,C,0.25517572457836246,0.0016704165405365709
178,PanamaEnergy,timeautodiff,M,0.2930797635278544,0.02335038419463762
179,PanamaEnergy,timeautodiff,F,0.15970774607888685,0.0009106770223525302
