,Dataset,Method,Level,Avg. xcorrD,Std. xcorrD
64,RossmanSales,timeweaver,M,0.006032796556006648,0.001432081539912794
65,RossmanSales,timeweaver,F,0.1267321785116379,0.008497214472418626
66,RossmanSales,tsdiff-0.0,C,0.03587336740897499,0.0005956214451141021
67,RossmanSales,tsdiff-0.0,M,0.019463097708912802,0.0022440685551411827
68,RossmanSales,tsdiff-0.0,F,0.05914908127289399,0.0012515849085866285
69,RossmanSales,tsdiff-0.5,C,0.04585319171909673,0.0006987055554334503
70,RossmanSales,tsdiff-0.5,M,0.0035230042865004307,0.002485073056042832
71,RossmanSales,tsdiff-0.5,F,0.07525537501351799,0.0027345029757729973
72,RossmanSales,tsdiff-1.0,C,0.10182204586585511,0.0008677670883935426
73,RossmanSales,tsdiff-1.0,M,0.05659669399140671,0.004358452136005237
74,RossmanSales,tsdiff-1.0,F,0.0522129998614,0.0021099326265411073
75,RossmanSales,tsdiff-2.0,C,0.044200503500341805,0.0010015327181610663
76,RossmanSales,tsdiff-2.0,M,0.005503422418330251,0.0015220200895469606
77,RossmanSales,tsdiff-2.0,F,0.0386071280353422,0.0014730587133718628
78,RossmanSales,hyacinth-1,C,0.0055905222055971145,0.0006938735507021846
79,RossmanSales,hyacinth-1,M,0.012272055493933709,0.0015134388533335958
80,RossmanSales,hyacinth-1,F,0.01893860278256453,0.0008913995504943052
81,RossmanSales,hyacinth-8,C,0.023240532860158147,0.0005302375590017179
82,RossmanSales,hyacinth-8,M,0.005873429953737286,0.0005479761072249764
83,RossmanSales,hyacinth-8,F,0.01443647075405038,0.0005640965845074633
84,RossmanSales,hyacinth-16,C,0.023117609435776166,0.0009990803646137566
85,RossmanSales,hyacinth-16,M,0.005219236811854477,0.0014905032725569605
86,RossmanSales,hyacinth-16,F,0.01628197567697376,0.0008510834258880503
87,RossmanSales,hyacinth-32,C,0.031065209968553765,0.0014373619255230326
88,RossmanSales,hyacinth-32,M,0.010095717856120257,0.0009285954436212139
89,RossmanSales,hyacinth-32,F,0.02462419024515462,0.0006110574815788029
90,BeijingAirQuality,timegan,C,0.1906057913345367,0.003989535603828047
91,BeijingAirQuality,timegan,M,0.23164084570534,0.006479737118359284
92,BeijingAirQuality,timegan,F,0.18147316341632336,0.006472311352584844
93,BeijingAirQuality,timeweaver,C,0.15584499931076248,0.0019147046185929715
94,BeijingAirQuality,timeweaver,M,0.19069118166422513,0.014823795391302514
95,BeijingAirQuality,timeweaver,F,0.2853876388915705,0.032462840764348216
96,BeijingAirQuality,tsdiff-0.0,C,0.2821742961927954,0.004788253421096975
97,BeijingAirQuality,tsdiff-0.0,M,0.19959170393754452,0.00435996361122876
98,BeijingAirQuality,tsdiff-0.0,F,0.04476968579892911,0.0037148787245800483
99,BeijingAirQuality,tsdiff-0.5,C,0.17809038738382932,0.00330127876503676
100,BeijingAirQuality,tsdiff-0.5,M,0.18730156299024858,0.003273072501916174
101,BeijingAirQuality,tsdiff-0.5,F,0.04695709093430719,0.002122981273349428
102,BeijingAirQuality,tsdiff-1.0,C,0.3100848505885575,0.002286666195886509
103,BeijingAirQuality,tsdiff-1.0,M,0.2279251444689061,0.003991170961807587
104,BeijingAirQuality,tsdiff-1.0,F,0.046243804485563325,0.0011144509194050255
105,BeijingAirQuality,tsdiff-2.0,C,0.28884490775176613,0.005137796386888885
106,BeijingAirQuality,tsdiff-2.0,M,0.3239704486032605,0.007890172341121784
107,BeijingAirQuality,tsdiff-2.0,F,0.043251976965682594,0.0023617307085435023
108,BeijingAirQuality,hyacinth-1,C,0.18840625275932155,0.0052965163045191645
109,BeijingAirQuality,hyacinth-1,M,0.21725029308512891,0.012581784928293203
110,BeijingAirQuality,hyacinth-1,F,0.06415837160618174,0.0018668839617282176
111,BeijingAirQuality,hyacinth-8,C,0.14555357630324933,0.003978413057563856
112,BeijingAirQuality,hyacinth-8,M,0.1762746410462917,0.014567901644696556
113,BeijingAirQuality,hyacinth-8,F,0.036268492484045955,0.002218353641301044
114,BeijingAirQuality,hyacinth-16,C,0.15225027353041357,0.004549320278514054
115,BeijingAirQuality,hyacinth-16,M,0.18205840638697096,0.008107215040616766
116,BeijingAirQuality,hyacinth-16,F,0.03483721785524279,0.0018157447443763147
117,BeijingAirQuality,hyacinth-32,C,0.16079450904785886,0.0010168141644528944
118,BeijingAirQuality,hyacinth-32,M,0.19542144302516168,0.009577334143023614
119,BeijingAirQuality,hyacinth-32,F,0.035065390163059464,0.0026962941823508823
120,PanamaEnergy,timegan,C,0.4116430270265452,0.0011472843180219284
121,PanamaEnergy,timegan,M,0.5348924833852136,0.00698443529603879
122,PanamaEnergy,timegan,F,0.36643611196777875,0.001208159895944889
123,PanamaEnergy,timeweaver,C,0.1449594734134276,0.004855312351363355
124,PanamaEnergy,timeweaver,M,0.17477487970815808,0.04329005929963188
125,PanamaEnergy,timeweaver,F,0.2489947713166914,0.025042282458716543
126,PanamaEnergy,tsdiff-0.0,C,0.3601706788395043,0.003718632539953194
127,PanamaEnergy,tsdiff-0.0,M,0.3063919232691174,0.011269619544891422
128,PanamaEnergy,tsdiff-0.0,F,0.06743669639232956,0.0004774007537338106
129,PanamaEnergy,tsdiff-0.5,C,0.297670204161121,0.0031991268444651905
130,PanamaEnergy,tsdiff-0.5,M,0.321122154901195,0.020687263786410788
131,PanamaEnergy,tsdiff-0.5,F,0.09868703772568943,0.0005923331573912058
132,PanamaEnergy,tsdiff-1.0,C,0.361713578938318,0.0016787591042925166
133,PanamaEnergy,tsdiff-1.0,M,0.298101778265802,0.003884220918419252
134,PanamaEnergy,tsdiff-1.0,F,0.10427817902260601,0.0005547967866643155
135,PanamaEnergy,tsdiff-2.0,C,0.36194170455726205,0.0024128409058743585
136,PanamaEnergy,tsdiff-2.0,M,0.355777049693969,0.005072244005003953
137,PanamaEnergy,tsdiff-2.0,F,0.07798988820907411,0.0007370604372477614
138,PanamaEnergy,hyacinth-1,C,0.24165209989734734,0.005314524578077213
139,PanamaEnergy,hyacinth-1,M,0.13522452527603368,0.018463374843734337
140,PanamaEnergy,hyacinth-1,F,0.05263139855070505,0.0017667308674524473
141,PanamaEnergy,hyacinth-8,C,0.23178162062402913,0.005628754305213274
142,PanamaEnergy,hyacinth-8,M,0.1698770340681834,0.01822497392695665
143,PanamaEnergy,hyacinth-8,F,0.04620962791760817,0.0032570234182273004
144,PanamaEnergy,hyacinth-16,C,0.2318939203669045,0.0038525024924527325
145,PanamaEnergy,hyacinth-16,M,0.20388370452070773,0.027144924660963077
146,PanamaEnergy,hyacinth-16,F,0.04781368738137598,0.0027983027877039
147,PanamaEnergy,hyacinth-32,C,0.15312298412161335,0.010611736738169578
148,PanamaEnergy,hyacinth-32,M,0.19161644809284456,0.01762540211189286
149,PanamaEnergy,hyacinth-32,F,0.0442300612559061,0.0028355248003234935
