,Dataset,Method,Level,Avg. ACD,Std. ACD
70,BeijingAirQuality,timeweaver,M,0.10398701856986044,0.0026414817420461556
71,BeijingAirQuality,timeweaver,F,0.26481778907234305,0.020965373255214297
72,BeijingAirQuality,tsdiff-0.5,C,0.2842257021285998,0.0023665755765387994
73,BeijingAirQuality,tsdiff-0.5,M,0.17078344630096984,0.006247618743587136
74,BeijingAirQuality,tsdiff-0.5,F,0.024882894662621127,0.0008432397362364028
75,BeijingAirQuality,sssd,C,0.3026241595585669,0.003557957024472548
76,BeijingAirQuality,sssd,M,0.21906960642401838,0.004445789008299547
77,BeijingAirQuality,sssd,F,0.017729801017315076,0.0004894360009179929
78,BeijingAirQuality,timeautodiff,C,0.28537400329692186,0.004101130480879186
79,BeijingAirQuality,timeautodiff,M,0.32083312091676525,0.0012836238465307045
80,BeijingAirQuality,timeautodiff,F,0.09578725286925385,0.0006944608096404153
81,AustraliaTourism,wavestitch-8,C,0.0184745106216773,0.001591847228288318
82,AustraliaTourism,wavestitch-8,M,0.03847398363093647,0.0009860290416006613
83,AustraliaTourism,wavestitch-8,F,0.021876442132087625,0.0004697921475934148
84,AustraliaTourism,wavestitch-16,C,0.019123613636347882,0.001044684428410539
85,AustraliaTourism,wavestitch-16,M,0.03770491928175794,0.0002423708134157381
86,AustraliaTourism,wavestitch-16,F,0.021529193054429664,0.00033863925521460786
87,AustraliaTourism,wavestitch-32,C,0.022784725195294862,0.002349769314725722
88,AustraliaTourism,wavestitch-32,M,0.06925909269161637,0.013735877971105698
89,AustraliaTourism,wavestitch-32,F,0.023844535354694208,0.0024000433034442035
90,AustraliaTourism,wavestitch-1,C,0.017836113619397197,0.0011112020713494773
91,AustraliaTourism,wavestitch-1,M,0.04001976487880391,0.004373651451293999
92,AustraliaTourism,wavestitch-1,F,0.02172078719362183,0.00023333250630363513
93,AustraliaTourism,timegan,C,0.25922183703910584,0.0148972057333862
94,AustraliaTourism,timegan,M,0.25343553650684464,0.00632074971060736
95,AustraliaTourism,timegan,F,0.2554893275914442,0.023847743762481808
96,AustraliaTourism,timeweaver,C,0.024296263116468476,0.002943267282065743
97,AustraliaTourism,timeweaver,M,0.09311244551383524,0.02098565887618079
98,AustraliaTourism,timeweaver,F,0.12579625142052808,0.0015174314360183684
99,AustraliaTourism,tsdiff-0.5,C,0.08994109559705862,0.0031822024357058385
100,AustraliaTourism,tsdiff-0.5,M,0.25573410633786886,0.00220369435220164
101,AustraliaTourism,tsdiff-0.5,F,0.09033384462120042,0.0010316695463048915
102,AustraliaTourism,sssd,C,0.13095756133372954,0.0032392248180451214
103,AustraliaTourism,sssd,M,0.12934498070365485,0.0028642772299604198
104,AustraliaTourism,sssd,F,0.05680365044465703,0.001478434928320548
105,AustraliaTourism,timeautodiff,C,0.15074450555905308,0.0035795042018602567
106,AustraliaTourism,timeautodiff,M,0.22568194947886605,0.009928627930056937
107,AustraliaTourism,timeautodiff,F,0.11134853337304922,0.004877769461870996
108,PanamaEnergy,wavestitch-8,C,0.2944424890460546,0.004991878913828786
109,PanamaEnergy,wavestitch-8,M,0.1783182425229215,0.032039658766878976
110,PanamaEnergy,wavestitch-8,F,0.08098759543456102,0.007182496956406608
111,PanamaEnergy,wavestitch-16,C,0.30031480675868033,0.003615710962297507
112,PanamaEnergy,wavestitch-16,M,0.20363733032631917,0.023279683050296072
113,PanamaEnergy,wavestitch-16,F,0.08577532837551831,0.0020343235993005512
114,PanamaEnergy,wavestitch-32,C,0.32371435445625296,0.005809575970709791
115,PanamaEnergy,wavestitch-32,M,0.18765546857453969,0.013916178451654977
116,PanamaEnergy,wavestitch-32,F,0.07108578834076947,0.0023758404487754284
117,PanamaEnergy,wavestitch-1,C,0.3126942522875157,0.004630761605011653
118,PanamaEnergy,wavestitch-1,M,0.21596486306111679,0.015381520299682852
119,PanamaEnergy,wavestitch-1,F,0.08188620761408685,0.004172840107915703
120,PanamaEnergy,timegan,C,0.4102106363311731,0.00041277257642284093
121,PanamaEnergy,timegan,M,0.3816704798596541,0.0019425904148771876
122,PanamaEnergy,timegan,F,0.4173279152305745,0.0005445012013757022
123,PanamaEnergy,timeweaver,C,0.32135148155494125,0.002625772593418552
124,PanamaEnergy,timeweaver,M,0.25840034177264454,0.020333125474308232
125,PanamaEnergy,timeweaver,F,0.3526243027083725,0.02422579563579502
126,PanamaEnergy,tsdiff-0.5,C,0.38816370225035746,0.001475134357212807
127,PanamaEnergy,tsdiff-0.5,M,0.3090356880711874,0.011073611999778278
128,PanamaEnergy,tsdiff-0.5,F,0.08120329836502957,0.0006007105567027752
129,PanamaEnergy,sssd,C,0.4222405165584144,0.0010588387876800383
130,PanamaEnergy,sssd,M,0.2524066046536161,0.005090641982700279
131,PanamaEnergy,sssd,F,0.04399945775702353,0.00029933731103946247
132,PanamaEnergy,timeautodiff,C,0.42428028763694386,0.000822772052658635
133,PanamaEnergy,timeautodiff,M,0.4141654930089742,0.012799340961822456
134,PanamaEnergy,timeautodiff,F,0.3330278162353979,0.00013913171321941367
