,Dataset,Method,Level,Avg. MSE,Std. MSE
97,RossmanSales,Pipe-8,C,0.5977514837368071,0.005589027171312108
98,RossmanSales,Pipe-16,C,0.5970275816495931,0.01228978256604219
99,RossmanSales,Pipe-32,C,0.6182574032623449,0.00866709667875863
100,RossmanSales,TimeGAN,M,4.065483335315578,0.014627376753715879
101,RossmanSales,TimeWeaver,M,0.5884385975982906,0.04281582675908383
102,RossmanSales,TSDiff-0,M,0.970992964821168,0.036769069797191356
103,RossmanSales,TSDiff-0.5,M,0.8270653812784434,0.03206720528976281
104,RossmanSales,TSDiff-1.0,M,0.7232766182417755,0.0073045973337333
105,RossmanSales,TSDiff-2.0,M,0.6373503153903555,0.025206318792241746
106,RossmanSales,Pipe-1,M,0.5422857536565482,0.022019751457108876
107,RossmanSales,Pipe-8,M,0.5373659775636238,0.023471503838012376
108,RossmanSales,Pipe-16,M,0.5525873272827763,0.039950875573297934
109,RossmanSales,Pipe-32,M,0.6052439957845458,0.029094161588733708
110,RossmanSales,TimeGAN,F,2.7312504792370524,0.019643257794840753
111,RossmanSales,TimeWeaver,F,0.9647895346051831,0.059057590229708176
112,RossmanSales,TSDiff-0,F,0.29838165000720895,0.006204793836087223
113,RossmanSales,TSDiff-0.5,F,0.45803772863253817,0.01105034792610603
114,RossmanSales,TSDiff-1.0,F,0.27618009006730854,0.0043421209601085566
115,RossmanSales,TSDiff-2.0,F,0.3944869032662256,0.0074849995781838255
116,RossmanSales,Pipe-1,F,0.1648973545500653,0.0015746784337097865
117,RossmanSales,Pipe-8,F,0.1486826863951546,0.0021588978417167864
118,RossmanSales,Pipe-16,F,0.15021656641579992,0.0014164168596178285
119,RossmanSales,Pipe-32,F,0.15827618579564906,0.001600885484493969
120,PanamaEnergy,TimeGAN,C,6.768027958568274,0.0068948686599101874
121,PanamaEnergy,TimeWeaver,C,1.0742284598690701,0.027168801693173195
122,PanamaEnergy,TSDiff-0,C,1.4048474320609847,0.011323232795446328
123,PanamaEnergy,TSDiff-0.5,C,1.6670438744195377,0.004555742430368547
124,PanamaEnergy,TSDiff-1.0,C,2.105279429627251,0.0029189696166728816
125,PanamaEnergy,TSDiff-2.0,C,1.4103996520133413,0.008417411476413915
126,PanamaEnergy,Pipe-1,C,1.0459149995677535,0.01602321956961306
127,PanamaEnergy,Pipe-8,C,1.0055287434644626,0.012861460028599453
128,PanamaEnergy,Pipe-16,C,1.0170934269003822,0.017266629653733805
129,PanamaEnergy,Pipe-32,C,1.0725944250887751,0.02155586710155581
130,PanamaEnergy,TimeGAN,M,6.1378308291430725,0.10181241255311636
131,PanamaEnergy,TimeWeaver,M,0.9609934476727151,0.1138679528670319
132,PanamaEnergy,TSDiff-0,M,2.1708450095185006,0.09226203612652034
133,PanamaEnergy,TSDiff-0.5,M,1.1792735102913467,0.060624175438311285
134,PanamaEnergy,TSDiff-1.0,M,1.798262521411835,0.03288381420380388
135,PanamaEnergy,TSDiff-2.0,M,2.5377848085965176,0.03947509138809263
136,PanamaEnergy,Pipe-1,M,0.7181638001116426,0.1255909426408548
137,PanamaEnergy,Pipe-8,M,0.5867790041419546,0.12778331511515192
138,PanamaEnergy,Pipe-16,M,0.6056682306227239,0.08677686374956896
139,PanamaEnergy,Pipe-32,M,0.6877039429893874,0.0533948407896905
140,PanamaEnergy,TimeGAN,F,4.092423601203245,0.00932356537047122
141,PanamaEnergy,TimeWeaver,F,1.387186271821535,0.028877791120658563
142,PanamaEnergy,TSDiff-0,F,0.36907508597045435,0.0012492294912341852
143,PanamaEnergy,TSDiff-0.5,F,0.46883570288979043,0.0018568592328336096
144,PanamaEnergy,TSDiff-1.0,F,0.406997067227605,0.0011048753662849151
145,PanamaEnergy,TSDiff-2.0,F,0.46915863675348524,0.0010236962889183588
146,PanamaEnergy,Pipe-1,F,0.17121017954460016,0.003205705702060159
147,PanamaEnergy,Pipe-8,F,0.16549773698138828,0.00320449174020681
148,PanamaEnergy,Pipe-16,F,0.16482659964909385,0.004510771717980472
149,PanamaEnergy,Pipe-32,F,0.18326012644142084,0.0039369278591402275
